Comment,Rating
大差了布料很差我也不想多說,bad
實物和顏色差很多客服一直車轆話不承認換貨還要自己付運費寫的北京發貨山東發的問客服客服一直說是的山東發貨的太差勁的客服,bad
給人的信譽不好運費出了快遞還要在收錢,bad
買的椒鹽的結果是濃濃的奶油味很討厭這種濃濃的食品添加劑的味道,bad
沒收到貨草嗎的,bad
這個包是我了湊單不得已買的的很失望首先太小其次質量很差很單薄的東西誒呀呀,bad
蓋沒有擰緊洗髮膏有些粘在蓋子的周圍打開蓋子裏面應該有一層包裝防止洗頭膏流出這個卻沒有及其懷疑其品質,bad
不好看紙質不好便宜沒好貨,bad
真心不怎麼樣很皺拉鍊不光滑釦子很緊感覺用不了幾次就會壞看像路,bad
鞋子的質量太差了就是用朔料做,bad
對於這個價格也就這樣的貨色我也沒法說啥了連帶對京東也很失望非要說點那就是一個字差不給一顆星無法評價無奈點擊大家懂得就好,bad
做工粗糙材料實在一般根本不是描述的那樣評價的人看起來不少其實只是一個人在說這個店鋪謊言欺騙消費者嫌疑請大家再不要上當,bad
垃圾中的戰鬥機自己看圖吧買個馬桶套等了恨不得一個月快遞弄錯了我也不知道是快遞弄錯了還是賣家弄錯了總之我沒收貨非說我收了然後賣家自己查原來是弄錯了好吧我願意再等可是又過了一週沒動靜我說要辦退費她告訴我寄出了好寄出了我再等等來的就是圖片裏的垃圾髒的壞的客服這會變得答非所問沒有扣沒有扣客服就一個有沒有扣的問題問了半天你不會自己看嗎有扣我還找你幹嘛我也懶得廢話了京東拜託你擦亮眼找合作方好嗎要不產業就這麼一點點給敗了,bad
使用此電池後電腦老死機,bad
後悔啊很差勁各位慎重考慮好評啊,bad
東西很好無色差只是看實際比圖片大跟電腦包一樣大客服也非常好什麼差評快遞的太慢離我家那麼近居然等了一個星期打電話每次都是敷衍了事我在京東買了衣服都換了次貨人家都到了,bad
就一個薄薄的破袋子裝暴力運輸中書都被磨破了而且還死貴死貴的,bad
贈送的包裝已破損不好,bad
有一個壞掉了,bad
只能用一個字來形容就是差,bad
說好的買送買之前還問了客服確定了結果就發了個收到之後問客服也沒人應騙人的把戲難怪沒有評論估計都是差評,bad
沒有第一次好這次是第二次買不滿意,bad
不理想存在質量缺陷第一次物流問題換貨到是快第二次質量問題反應兩天了沒什麼動靜,bad
有異味都過了半個月了還是有味道感覺不值,bad
好差的東西物流慢東西質量差的都睜不開眼我個去,bad
電池沒電了怎麼辦怎麼辦怎麼辦,bad
騎一個月把手生鏽了諮詢客服照片也傳給他看看之前解釋說下雨沒乾淨水現在都不理了悲催的購物,bad
垃圾服裝京東沒好貨連續兩次買的衣服都穿不下,bad
衣服有三個釦子都掉了太垃圾了,bad
二手的退了二手的退了,bad
快遞員是騙子沒到我家送貨直接把貨扔到了物業卻打電話說你家沒人商品比我以前買的貴了很多原來買的還送了我一個墊圈這次沒有很不實在不如買個新杯子了吸管有點異味不是很滿意,bad
鞋子太硬了老婆穿了天就不穿了打腳,bad
用全棉時代的酒精棉片消毒後就這樣了聯繫商家說是我的問題好吧是我的問題寶寶用的東西我不應該消毒處理親愛的賣家祝你早日倒閉好評返現元對不起姐不需要大概這些好評都返現得來的吧後面的買家看好了必定寶寶用的東西慎重,bad
沒有眼鏡布圖片描述裏有之前買的也有什麼這次就沒有,bad
衣服一般褲子的真的是沒法看勸大家別買,bad
這個價位的這個品牌頭盔我是喫一塹長一智了粗糙的沒法看外層就一層薄薄的塑料有薄指甲蓋那麼薄並且透風孔很粗糙送到我這還缺個帽檐當然店家很熱心要給我補發我沒有選擇補發直接選擇退貨了另外我希望店長做生意能仔細點現在網店不好做太多了出了基本的服務態度就是貨物的質量至少差不多得還有就是發貨的態度我總共買了三件東西頭盔不說了沒法看當然也怪我圖便宜坐墊除了不穩當外就是有個很明顯的白色污跡黑上白色污跡跟白膠似的污跡小指頭肚大小擦不掉我因周天急出行就沒退使用了咱也就不去退了省的店家不好二次銷售還有就是座管夾沒給我發非得說給我發了我這點很不爽當然然店家後面給我補發了個在這我很感謝店家我希望店家管理上嚴格一下太明顯的錯誤希望少犯或者不犯希望店家做好網店成功未來,bad
且不說你家的東西怎樣我在購買時就註明要發票的你家要是沒有發票提供就不能聯繫我溝通一下嗎給我退單呀沒有發票還發貨給我難道還讓我給你發過來嗎太無良的商家,bad
枕芯跟上次買的那個就不是一個材料上次的才叫慢回彈這次簡直就是一塊海棉懶得退了其他買家的別買了現在的貨枕芯肯定都是換了很差的材料,bad
太假了用了三月表面就開裂了,bad
還是不好腳跟都在外面,bad
翻譯的稀巴爛不好看,bad
我是貨到付款方式由於寶貝碼數偏小退貨賣家換大一碼賣家服務都沒有話說就是換回來的寶貝和第一次發過來的完全不一樣一千多塊錢買了個地攤貨做工差到處脫線背後皮草有明顯劃痕本來想換的我怕越換越差自認倒黴吧,bad
